param: GEN:  gen_min gen_max gen_RRlimit gen_Kom gen_NlCost gen_SuCost :=
	1   12.74  75  280 0.18 1.74 3.5
	2   18  180  180 0.08 3.4 5
	3   14  80  170 0.16 2 5;
	
param: PERIOD: Time_TotalPd PgridCost PV_Ava WT_Ava Temp :=
1	547.33	0.092	0.00	38.06   23.00
2	539.53	0.084	0.00	37.08   22.00
3	507.73	0.064	0.00	35.18   22.00
4	482.00	0.06	0.00	34.05   20.00
5	506.95	0.071	0.00	32.57   20.00
6	519.81	0.078	0.00	32.44   19.00
7	669.52	0.085   0.12	45.86   18.00
8	662.51	0.084	0.67	81.69   20.00
9	643.84	0.087	1.47	122.29  20.00
10	705.73	0.1   	2.28	155.24  21.00
11	802.67	0.11	2.87	159.23  23.00
12	831.68	0.12	3.33	152.91  24.00
13	874.24	0.125	3.57	143.33  25.00
14	993.64	0.115	3.25	133.18  26.00
15	925.91	0.129	2.91	120.31  27.00
16	1267.25	0.144	2.29	108.15  28.00
17	1131.78	0.175	1.51	92.19   28.00
18	1128.24	0.183   0.58	72.56   26.00
19	1167.85	0.177	0.14	31.38   25.00
20	1169.22	0.17	0.00	36.26   24.00
21	1190.09	0.24	0.00	42.82   23.00
22	1166.13	0.16	0.00	40.50   23.00
23	796.93	0.12	0.00	38.27   23.00
24	739.08	0.11	0.00	38.55   23.00;
